id,slug,owner_id,title,summary,description,category,tech_stack,looking_for_roles,cover,status,max_members,is_public,created_at,updated_at
122,practice-partner-cards,a36cd93c-2f0c-5956-9a51-8094e39a7bed,Practice partner cards,Help language learners find someone free for a short speaking session.,"Help language learners find someone free for a short speaking session.

Scope
Match overlapping time windows and preferred language, not a made-up score.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Do-yun Lee: frontend developer
Sahana Rao: backend developer
Ethan Lim: frontend developer

Fictional student project for the CoLearn demo.",EdTech,"[""React"",""JavaScript"",""CSS"",""PostgreSQL""]","[""Backend developer""]",,active,5,true,2026-07-29T01:30:00+00:00,2026-09-15T10:30:00+00:00
123,tiny-grant-tracker,bb4b0d34-59a4-5948-a9be-a1aa6caece55,Tiny grant tracker,Track small student society grants and the receipts needed for reimbursement.,"Track small student society grants and the receipts needed for reimbursement.

Scope
Every balance must be explainable from an expense row.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Lê Thu Hà: database developer
Sumaiya Akter: frontend developer
Avery Campbell: frontend developer

Fictional student project for the CoLearn demo.",Research,"[""SQL"",""PostgreSQL"",""Data Modeling"",""React""]","[""Mobile developer""]",,active,4,true,2026-08-29T20:30:00+00:00,2026-09-14T10:30:00+00:00
124,caption-draft-desk,6690668c-e73d-51ff-9ca4-36bec9b8c175,Caption draft desk,Turn lecture-club video transcripts into captions that volunteers can correct.,"Turn lecture-club video transcripts into captions that volunteers can correct.

Scope
Editing and export are local; do not upload recorded students to an external model.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Miguel Dela Cruz: motion designer
Emre Yılmaz: full-stack developer
Priyanka Shah: frontend developer

Fictional student project for the CoLearn demo.",Creative Technology,"[""Blender"",""Video Editing"",""Figma""]",[],,completed,6,true,2026-08-16T05:30:00+00:00,2026-09-03T05:30:00+00:00
125,garden-sensor-diary,baa8ef70-5b01-5a49-84cb-71c353290705,Garden sensor diary,Compare soil readings from two planters in the student garden.,"Compare soil readings from two planters in the student garden.

Scope
Show missing sensor readings clearly instead of joining gaps with a line.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Amirul Hakim: hardware builder
Arjun Nair: hardware builder
Omar Mostafa: frontend developer
Thea Nilsen: research partner
Mariana Silva: product designer

Fictional student project for the CoLearn demo.",Climate,"[""Python"",""Arduino"",""Git""]","[""Security reviewer""]",,active,7,true,2026-08-14T15:30:00+00:00,2026-09-12T10:30:00+00:00
126,paper-queue,95927b04-f214-5c26-878d-fb55176e41bc,Paper queue,Keep a reading list for a small research group with notes on why each paper matters.,"Keep a reading list for a small research group with notes on why each paper matters.

Scope
Store public paper links and original notes, not copyrighted PDF copies.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Intan Permata: data analyst
Lerato Mokoena: research partner
Võ Hoàng Nam: product designer

Fictional student project for the CoLearn demo.",Research,"[""Python"",""SQL"",""Data Visualization""]",[],,completed,4,true,2026-07-15T23:30:00+00:00,2026-07-28T23:30:00+00:00
127,peer-review-rota,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Peer review rota,Give each class project two reviewers without pairing the same people every week.,"Give each class project two reviewers without pairing the same people every week.

Scope
Review history is visible so assignments can be checked by the group.

Beginner: a small working flow before adding extra features.

Paused while the team is on placements. The current work is saved for a later handover.

Team contributions
Niamh Byrne: full-stack developer

Fictional student project for the CoLearn demo.",EdTech,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]",[],,archived,3,true,2026-08-26T02:30:00+00:00,2026-09-18T10:30:00+00:00
128,lab-kit-checklist,20b63262-d3e6-555a-95b2-84fc87694a19,Lab kit checklist,Check lab kits in and out before practical sessions.,"Check lab kits in and out before practical sessions.

Scope
A kit can be incomplete; missing parts must not disappear when it is returned.

Intermediate: a tested prototype with a few cooperating parts.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Grace Nguyen: backend developer
Sara Koskinen: research partner

Fictional student project for the CoLearn demo.",Productivity,"[""Python"",""Django"",""PostgreSQL"",""React""]",[],,completed,4,true,2026-07-03T22:30:00+00:00,2026-07-30T22:30:00+00:00
129,portfolio-screenshot-studio,8ecc0792-3789-53b2-a26e-fc6daa886eb7,Portfolio screenshot studio,Arrange project screenshots into consistent portfolio images.,"Arrange project screenshots into consistent portfolio images.

Scope
Keep screenshot text readable and offer an export with no decorative frame.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Inès Laurent: motion designer
Naomi Brooks: frontend developer
Thando Nkosi: backend developer
Efua Osei: research partner
Su-bin Choi: research partner
Niruta Adhikari: frontend developer

Fictional student project for the CoLearn demo.",Creative Technology,"[""Blender"",""Video Editing"",""Figma""]",[],,completed,8,true,2026-08-29T09:30:00+00:00,2026-09-18T10:30:00+00:00
130,reading-pace-journal,e747fee0-a84b-5f51-98a3-7481903c9023,Reading pace journal,Let students record a reading session and one thing they understood.,"Let students record a reading session and one thing they understood.

Scope
There is no speed ranking; skipped days should not wipe out the journal.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Hannah Richter: mobile developer
Inês Costa: backend developer
Alva Lindberg: research partner
Onni Nieminen: frontend developer
Aditya Menon: ml contributor
Jonas Weber: product designer

Fictional student project for the CoLearn demo.",EdTech,"[""Flutter"",""Dart"",""Git""]",[],,completed,8,true,2026-08-08T02:30:00+00:00,2026-08-31T02:30:00+00:00
131,accessible-poster-checker,651ce25b-8132-52d9-8f74-889f22c3bb5c,Accessible poster checker,Flag tiny text and low contrast in student event posters.,"Flag tiny text and low contrast in student event posters.

Scope
This is a prototype helper, not an accessibility certification tool.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Evie Bennett: ml contributor
Rafiul Islam: ml contributor

Fictional student project for the CoLearn demo.",AI,"[""Python"",""Machine Learning"",""Statistics""]","[""Research partner""]",,active,5,true,2026-08-31T21:30:00+00:00,2026-09-13T10:30:00+00:00
132,club-handover-folder,e3efd234-c7f9-5957-937f-661b1c3981ef,Club handover folder,Help an outgoing club committee leave useful notes for the next team.,"Help an outgoing club committee leave useful notes for the next team.

Scope
Separate public event guides from committee-only notes.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Saoirse Kelly: content designer
Mateo Rivera: research partner
Freya Collins: content designer
Avery Campbell: frontend developer
Su-bin Choi: research partner

Fictional student project for the CoLearn demo.",Community,"[""Figma"",""Content Strategy"",""Photography""]","[""Frontend developer""]",,active,7,true,2026-07-17T07:30:00+00:00,2026-09-12T10:30:00+00:00
133,bike-repair-pricebook,bf54d417-d834-5d3e-a7f9-106377fe05a5,Bike repair pricebook,Compare parts costs for a small community bike workshop.,"Compare parts costs for a small community bike workshop.

Scope
Record the date of each price rather than presenting old quotes as current.

Beginner: a small working flow before adding extra features.

We are still checking the scope before building.

Team contributions
Alva Lindberg: research partner
Tomás Benítez: product designer
Yui Matsuda: motion designer
Omar Hassan: backend developer
Kacper Zieliński: motion designer

Fictional student project for the CoLearn demo.",Business,"[""Excel"",""Content Strategy"",""Market Research""]","[""Motion designer""]",,idea,8,true,2026-07-11T02:30:00+00:00,2026-09-18T10:30:00+00:00
134,seminar-question-wall,53f78f7e-e2df-586b-b483-5748c92d0f9f,Seminar question wall,Collect questions during a seminar without interrupting the speaker.,"Collect questions during a seminar without interrupting the speaker.

Scope
Moderators can hide personal information before a question is displayed.

Intermediate: a tested prototype with a few cooperating parts.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Priyanka Shah: frontend developer
Efua Osei: research partner
Salma Adel: research partner

Fictional student project for the CoLearn demo.",Web Development,"[""React"",""JavaScript"",""CSS"",""PostgreSQL""]",[],,completed,6,true,2026-08-26T20:30:00+00:00,2026-09-18T10:30:00+00:00
135,rain-route-diary,ffe47fd1-7989-5728-addd-50b504edd889,Rain route diary,Record which walking routes stayed usable after heavy rain.,"Record which walking routes stayed usable after heavy rain.

Scope
Reports are observations, not navigation guarantees.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

Paused while the team is on placements. The current work is saved for a later handover.

Team contributions
Freja Nielsen: mobile developer
Reem Al Ghamdi: mobile developer
Tashi Wangchuk: product designer
Ruby Fletcher: frontend developer
Sagar Tamang: research partner

Fictional student project for the CoLearn demo.",Mobile,"[""Flutter"",""Dart"",""Git""]",[],,archived,7,true,2026-07-25T03:30:00+00:00,2026-08-13T03:30:00+00:00
136,volunteer-hour-ledger,7624f38b-fbca-546f-af04-c9dda9318f82,Volunteer hour ledger,Keep volunteer hours for a student-run tutoring group.,"Keep volunteer hours for a student-run tutoring group.

Scope
Coordinators confirm sessions; users cannot approve their own hours.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Beatriz Sousa: database developer
Kritika Joshi: backend developer

Fictional student project for the CoLearn demo.",Social Impact,"[""SQL"",""PostgreSQL"",""Data Modeling"",""React""]",[],,completed,4,true,2026-08-08T07:30:00+00:00,2026-08-28T07:30:00+00:00
137,open-dataset-postcard,20b4182c-90f7-51da-99e8-97ade4d19a92,Open dataset postcard,Explain one public dataset with a chart and a note about its limitations.,"Explain one public dataset with a chart and a note about its limitations.

Scope
Preserve units, source dates and missing values in the final chart.

Intermediate: a tested prototype with a few cooperating parts.

We are still checking the scope before building.

Team contributions
Alma Sørensen: data analyst
Chiara Moretti: product designer
Regina Flores: frontend developer
Dewi Lestari: product designer
Ruby Fletcher: frontend developer

Fictional student project for the CoLearn demo.",Data Science,"[""Python"",""SQL"",""Data Visualization""]","[""Research partner""]",,idea,8,true,2026-07-28T20:30:00+00:00,2026-09-14T10:30:00+00:00
138,reading-room-occupancy,1b1e4344-fde4-5cc2-b82c-4fb458696522,Reading room occupancy,Estimate quiet-room demand from anonymous hourly counts.,"Estimate quiet-room demand from anonymous hourly counts.

Scope
Use aggregated counts and compare the model with last week's pattern.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Sofia Virtanen: ml contributor
Zoya Ansari: research partner
Maja Nyström: research partner
Isabel Santos: backend developer
Abena Owusu: ml contributor
Efua Osei: research partner

Fictional student project for the CoLearn demo.",Machine Learning,"[""Python"",""Machine Learning"",""Statistics""]","[""Research partner""]",,active,8,true,2026-08-22T03:30:00+00:00,2026-09-13T10:30:00+00:00
139,dorm-energy-notebook,2e2e8079-6c9e-51c9-bc7e-1475045fd514,Dorm energy notebook,Compare plug-meter readings for shared appliances.,"Compare plug-meter readings for shared appliances.

Scope
Use manual readings and keep the measurement interval visible.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Emil Larsen: hardware builder
Sumaiya Akter: frontend developer
Róisín Doyle: hardware builder
Wang Zihan: backend developer

Fictional student project for the CoLearn demo.",Climate,"[""Python"",""Arduino"",""Git""]",[],,completed,5,true,2026-08-20T14:30:00+00:00,2026-09-11T14:30:00+00:00
140,interview-practice-recorder,bdc5faf6-386d-5338-99a0-32d156bcbd68,Interview practice recorder,Let students record a practice answer and write their own feedback.,"Let students record a practice answer and write their own feedback.

Scope
Recordings stay on the device unless the student exports them.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Sofia Greco: mobile developer
Daan Bakker: backend developer

Fictional student project for the CoLearn demo.",Career,"[""Flutter"",""Dart"",""Git""]","[""ML contributor""]",,active,3,true,2026-08-11T04:30:00+00:00,2026-09-18T10:30:00+00:00
141,office-hours-planner,45abfe15-6e8d-57cf-bda3-b7ae2b5c0bc7,Office-hours planner,Make it easier to book a tutor slot without long group-chat threads.,"Make it easier to book a tutor slot without long group-chat threads.

Scope
Changing a slot must not silently move existing bookings.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Lorenzo Bianchi: full-stack developer
Camila Ruiz: hardware builder
Lucía Navarro: product designer

Fictional student project for the CoLearn demo.",EdTech,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]","[""Hardware builder""]",,active,6,true,2026-08-23T05:30:00+00:00,2026-09-17T10:30:00+00:00
142,print-quota-companion,693ebb02-ab3f-5d60-b798-d4d4df4900d2,Print quota companion,Track a student's print jobs against a monthly allowance.,"Track a student's print jobs against a monthly allowance.

Scope
Import a sample job log; do not connect to a real campus printer.

Beginner: a small working flow before adding extra features.

We are still checking the scope before building.

Team contributions
Sahana Rao: backend developer
Thando Nkosi: backend developer
Niruta Adhikari: frontend developer

Fictional student project for the CoLearn demo.",Productivity,"[""Python"",""Django"",""PostgreSQL"",""React""]","[""Product designer""]",,idea,6,true,2026-07-26T16:30:00+00:00,2026-09-16T10:30:00+00:00
143,studio-critique-board,88820056-e901-59a1-b2ca-c4e813b34f7b,Studio critique board,Collect feedback on a design draft around specific questions.,"Collect feedback on a design draft around specific questions.

Scope
Comments refer to a version so old feedback is not attached to a new image.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Tomás Benítez: product designer
Thea Nilsen: research partner
Niruta Adhikari: frontend developer
Anika Patel: frontend developer

Fictional student project for the CoLearn demo.",Creative Technology,"[""Figma"",""User Research"",""Accessibility""]","[""Data analyst""]",,active,6,true,2026-07-17T17:30:00+00:00,2026-09-15T10:30:00+00:00
144,local-shop-stock-cards,878bb7d9-5569-5efb-bbd1-5e39d62d594d,Local shop stock cards,Make a simple stock-count tool for a shop with a small catalogue.,"Make a simple stock-count tool for a shop with a small catalogue.

Scope
Work with item counts first, with no payment processing.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Mateo Rivera: research partner
Yanis Benali: product designer
Maja Wiśniewska: backend developer

Fictional student project for the CoLearn demo.",Business,"[""Excel"",""Content Strategy"",""Market Research""]",[],,completed,6,true,2026-07-27T16:30:00+00:00,2026-08-24T16:30:00+00:00
145,meal-budget-worksheet,6ac5a7a4-ae0d-5e31-8a7c-d85b63a96c46,Meal budget worksheet,Compare the cost of a week's meal plan using manually entered prices.,"Compare the cost of a week's meal plan using manually entered prices.

Scope
Keep currency and package sizes explicit so comparisons are fair.

Beginner: a small working flow before adding extra features.

We are still checking the scope before building.

Team contributions
Faith Wambui: database developer
Giulia Conti: database developer
Tobiloba Adeyemi: database developer
Lê Thu Hà: database developer

Fictional student project for the CoLearn demo.",FinTech,"[""SQL"",""PostgreSQL"",""Data Modeling"",""React""]","[""Mobile developer""]",,idea,5,true,2026-07-06T18:30:00+00:00,2026-09-13T10:30:00+00:00
146,consent-form-sandbox,4ec67eb8-4fda-5cbc-bbd1-a6afc7ce8130,Consent form sandbox,Help classmates see what information a survey is asking them to share.,"Help classmates see what information a survey is asking them to share.

Scope
Use fictional forms and point out unnecessary fields.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Malik Thompson: security reviewer
Sumaiya Akter: frontend developer
Ruby Fletcher: frontend developer
Anika Patel: frontend developer
Daan Bakker: backend developer
Sipho Dlamini: security reviewer

Fictional student project for the CoLearn demo.",Cybersecurity,"[""Linux"",""Python"",""Networking""]","[""Database developer""]",,active,8,true,2026-08-25T19:30:00+00:00,2026-09-12T10:30:00+00:00
147,phishing-practice-lab,4ec67eb8-4fda-5cbc-bbd1-a6afc7ce8130,Phishing practice lab,Teach students to inspect suspicious messages using safe examples.,"Teach students to inspect suspicious messages using safe examples.

Scope
All examples are fictional and links are inert; never collect credentials.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

We are still checking the scope before building.

Team contributions
Malik Thompson: security reviewer
Bea Mendoza: security reviewer
Thea Nilsen: research partner
Yanis Benali: product designer
Sumaiya Akter: frontend developer
Daan Bakker: backend developer

Fictional student project for the CoLearn demo.",Cybersecurity,"[""Linux"",""Python"",""Networking""]","[""Database developer""]",,idea,8,true,2026-06-28T02:30:00+00:00,2026-09-18T10:30:00+00:00
148,dependency-update-journal,373cd20e-25d5-5a46-a0ae-18157cf68a55,Dependency update journal,Document why a student project accepted or postponed a package update.,"Document why a student project accepted or postponed a package update.

Scope
Store release links and test results without claiming to audit packages.

Beginner: a small working flow before adding extra features.

We are still checking the scope before building.

Team contributions
Folake Adebayo: full-stack developer
Salma Adel: research partner
Omar Hassan: backend developer
Tasnim Sultana: hardware builder

Fictional student project for the CoLearn demo.",Developer Tools,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]","[""Hardware builder""]",,idea,7,true,2026-07-25T04:30:00+00:00,2026-09-17T10:30:00+00:00
149,small-api-status-page,f4793612-bd5c-52c4-b29e-226fe28a77ca,Small API status page,Show whether a class project's API health check is responding.,"Show whether a class project's API health check is responding.

Scope
Show recent failures and stale checks; do not promise production uptime.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Thando Nkosi: backend developer
Sumaiya Akter: frontend developer

Fictional student project for the CoLearn demo.",Developer Tools,"[""Python"",""Django"",""PostgreSQL"",""React""]","[""Product designer""]",,active,5,true,2026-08-06T15:30:00+00:00,2026-09-16T10:30:00+00:00
150,commute-cost-comparison,1873645b-b54c-51dc-a41a-7131e831a64f,Commute cost comparison,Compare a monthly travel pass with pay-as-you-go trips.,"Compare a monthly travel pass with pay-as-you-go trips.

Scope
Prices are entered by the user and carry an effective date.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

Paused while the team is on placements. The current work is saved for a later handover.

Team contributions
Elif Demir: database developer
Sofia Chen: research partner
Kritika Joshi: backend developer
Thea Nilsen: research partner
Isabel Santos: backend developer
Salma Adel: research partner

Fictional student project for the CoLearn demo.",FinTech,"[""SQL"",""PostgreSQL"",""Data Modeling"",""React""]",[],,archived,7,true,2026-08-16T23:30:00+00:00,2026-09-09T23:30:00+00:00
151,public-toilet-access-notes,9edec740-5de6-5c27-8233-5cf72946b182,Public toilet access notes,Map public facility access information from community observations.,"Map public facility access information from community observations.

Scope
Accessibility details need a date and an uncertainty note.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Eren Kaya: gis contributor
Faisal Al Otaibi: content designer
Mikkel Jensen: content designer
Lucía Fernández: content designer
Grace Nguyen: backend developer

Fictional student project for the CoLearn demo.",Social Impact,"[""QGIS"",""Statistics"",""Technical Writing""]","[""Content designer""]",,active,8,true,2026-07-28T00:30:00+00:00,2026-09-14T10:30:00+00:00
152,reading-list-translator-notes,7298015b-9105-595a-b879-3013c08053f7,Reading list translator notes,Keep a bilingual glossary alongside a shared reading list.,"Keep a bilingual glossary alongside a shared reading list.

Scope
Contributors explain terms in their own words rather than copying chapters.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Saeed Al Nuaimi: content designer
James Rangi: research partner
Maja Wiśniewska: backend developer
Kelechi Nnamdi: product designer
Tashi Wangchuk: product designer
Lucía Fernández: content designer

Fictional student project for the CoLearn demo.",EdTech,"[""Figma"",""Content Strategy"",""Photography""]","[""Frontend developer""]",,active,7,true,2026-08-14T20:30:00+00:00,2026-09-13T10:30:00+00:00
153,exam-revision-calendar,06657aeb-b604-5b0d-9281-d2e5afb78a9d,Exam revision calendar,Schedule spaced revision around actual exam dates.,"Schedule spaced revision around actual exam dates.

Scope
Allow rescheduling when someone misses a session instead of adding guilt messages.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

We are still checking the scope before building.

Team contributions
Omar Mostafa: frontend developer
Kritika Joshi: backend developer
Priyanka Shah: frontend developer
Kelechi Nnamdi: product designer
Sander Berg: frontend developer
Chloe Goh: research partner

Fictional student project for the CoLearn demo.",EdTech,"[""React"",""JavaScript"",""CSS"",""PostgreSQL""]","[""Backend developer""]",,idea,8,true,2026-08-25T22:30:00+00:00,2026-09-12T10:30:00+00:00
154,research-interview-scheduler,082b47e7-5a06-5a34-bd49-595c82b2b196,Research interview scheduler,Coordinate interviews for a student research project.,"Coordinate interviews for a student research project.

Scope
Use participant codes in the calendar and keep contact details outside the prototype.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Dilan Jayasinghe: product designer
Tashi Wangchuk: product designer
Inês Costa: backend developer

Fictional student project for the CoLearn demo.",Research,"[""Figma"",""User Research"",""Accessibility""]","[""Data analyst""]",,active,4,true,2026-08-17T01:30:00+00:00,2026-09-18T10:30:00+00:00
155,open-source-issue-notebook,783491ec-2857-52e8-a102-766d7abba6d2,Open-source issue notebook,Track questions and reproduction steps before opening an issue.,"Track questions and reproduction steps before opening an issue.

Scope
Use links to public issues and original notes; do not copy entire discussions.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Arda Yıldız: full-stack developer
Camila Santos: hardware builder

Fictional student project for the CoLearn demo.",Developer Tools,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]","[""Hardware builder""]",,active,5,true,2026-07-29T06:30:00+00:00,2026-09-17T10:30:00+00:00
