id,slug,author_id,title,body,category,is_pinned,views,created_at,updated_at
124,our-survey-has-23-responses-is-that-enough-to-show-a-chart,f3744506-cae3-5f81-8a4f-506a60395be8,Our survey has 23 responses. Is that enough to show a chart?,"It's for a class presentation, not a published study. I don't want a neat chart to make the result look more certain than it is.",product,false,40,2026-08-21T00:30:00+00:00,2026-08-21T00:30:00+00:00
125,flutter-list-jumps-after-i-load-older-items,a36cd93c-2f0c-5956-9a51-8094e39a7bed,Flutter list jumps after I load older items,"Building a small notes app. When older notes load at the top, the screen jumps and I lose my place.",frontend,false,16,2026-08-28T03:30:00+00:00,2026-08-28T03:30:00+00:00
126,what-does-a-good-bug-report-look-like-for-a-class-team,96dbbdad-601e-5bc2-9d1a-78f9f6349a39,What does a good bug report look like for a class team?,Our group chat is full of 'it doesn't work'. I want a small template that people will actually use.,community,false,9,2026-08-14T05:30:00+00:00,2026-08-14T05:30:00+00:00
127,can-we-skip-a-login-screen-for-the-first-prototype,fb400c3e-ecd0-522e-8b8e-1323946be71a,Can we skip a login screen for the first prototype?,The core idea is a calculator. We're spending more time on accounts than the calculation itself.,product,false,58,2026-08-28T05:30:00+00:00,2026-08-28T05:30:00+00:00
128,git-says-both-of-us-changed-the-same-file,eb397f92-99ac-5f0f-8f81-3540865f0477,Git says both of us changed the same file,First group project. I have a merge conflict in our routes file and I'm scared I'll erase my teammate's work.,backend,false,5,2026-09-17T09:30:00+00:00,2026-09-17T09:30:00+00:00
129,is-it-okay-to-use-a-simple-baseline-for-an-ml-project,77c684c4-9514-5edc-85ff-1052c8544c14,Is it okay to use a simple baseline for an ML project?,Our classifier barely beats a majority-class baseline. The deadline is next week. I'm not sure what to write in the report.,backend,false,16,2026-09-12T06:30:00+00:00,2026-09-12T06:30:00+00:00
130,figma-prototype-looks-fine-until-someone-uses-a-longer-name,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,Figma prototype looks fine until someone uses a longer name,Our cards were designed with very short labels. Now they look cramped with real content. Any quick way to stress test this?,product,false,9,2026-08-16T02:30:00+00:00,2026-08-16T02:30:00+00:00
131,how-do-you-ask-for-help-without-pasting-the-whole-project,3b932376-f549-5a1c-a24b-664b4bc338e3,How do you ask for help without pasting the whole project?,I keep writing massive questions and deleting them. What details do people actually need?,community,false,58,2026-09-14T01:30:00+00:00,2026-09-14T01:30:00+00:00
132,our-stock-count-can-go-negative-prevent-it-or-record-it,0947c4b9-50d6-50e2-9043-84a15b80e8c7,Our stock count can go negative. Prevent it or record it?,Helping a small shop with a class prototype. A sale entered late can make the count negative even when it was a real sale.,product,false,85,2026-08-10T09:30:00+00:00,2026-08-10T09:30:00+00:00
133,can-a-chart-use-colour-if-it-also-has-labels,4307ee18-2e16-50be-abbc-db160bb8e8fd,Can a chart use colour if it also has labels?,We have three lines and direct labels at the end. Do we still need different dash styles?,frontend,false,9,2026-08-05T08:30:00+00:00,2026-08-05T08:30:00+00:00
134,looking-for-a-study-buddy-for-sql-joins,51420309-4688-52d6-84b9-51c0dc3a900e,Looking for a study buddy for SQL joins,I'm comfortable with SELECT and WHERE but joins still take me ages. Anyone interested in doing a few tiny examples together this weekend?,community,false,5,2026-08-11T01:30:00+00:00,2026-08-11T01:30:00+00:00
135,how-do-you-handle-a-teammate-disappearing-near-the-deadline,7f0221a7-4703-52e7-8b26-fa2cd7303c90,How do you handle a teammate disappearing near the deadline?,They were active at the start but haven't replied this week. I don't want to assume they're being lazy.,community,false,85,2026-08-19T08:30:00+00:00,2026-08-19T08:30:00+00:00
136,do-portfolio-screenshots-need-fake-activity-numbers,cb162f3d-006f-544e-bfa6-f9abb8a52026,Do portfolio screenshots need fake activity numbers?,"The empty version of my dashboard looks less impressive, but random big numbers feel wrong. What do you usually show?",career,false,58,2026-09-12T00:30:00+00:00,2026-09-12T00:30:00+00:00
137,deploying-a-student-project-without-leaving-secrets-in-git,ae7ac442-d880-5cd8-bc30-8d21c5f7dc54,Deploying a student project without leaving secrets in Git,I noticed an API key in our first commit. I removed the file in a new commit. Is that enough?,backend,false,5,2026-09-07T06:30:00+00:00,2026-09-07T06:30:00+00:00
138,our-model-is-good-on-train-and-bad-on-validation,f985b68e-39ae-5c83-8468-2b126802c414,Our model is good on train and bad on validation,It's a small image dataset for a class assignment. Accuracy looks great on train but drops a lot on a separate folder.,backend,false,155,2026-09-12T01:30:00+00:00,2026-09-12T01:30:00+00:00
139,do-you-write-tests-before-the-first-prototype,693ebb02-ab3f-5d60-b798-d4d4df4900d2,Do you write tests before the first prototype?,We have a tiny expense-splitting prototype. Trying to decide what deserves tests this early.,backend,false,24,2026-08-03T02:30:00+00:00,2026-08-03T02:30:00+00:00
140,what-s-a-useful-question-to-ask-after-a-usability-test,5421f79d-ed60-5eed-852b-01b379adab9e,What's a useful question to ask after a usability test?,I keep asking 'was it easy?' and everyone says yes even after getting stuck.,product,false,155,2026-08-24T07:30:00+00:00,2026-08-24T07:30:00+00:00
141,trying-to-make-a-csv-import-less-fragile,eb397f92-99ac-5f0f-8f81-3540865f0477,Trying to make a CSV import less fragile,Our import fails when a description contains a comma or a line break. Is there a better separator?,backend,false,58,2026-09-12T01:30:00+00:00,2026-09-12T01:30:00+00:00
142,how-much-detail-should-a-task-description-have,774fd1d7-ca6b-5177-9d91-fc7b24739425,How much detail should a task description have?,Our board has tasks like 'backend' and nobody knows when they're done. I want to improve it without writing an essay per card.,community,false,155,2026-09-18T02:30:00+00:00,2026-09-18T02:30:00+00:00
143,can-i-use-a-university-logo-in-a-fictional-demo,d48cab4b-e48b-59ae-88d6-41d5d463569d,Can I use a university logo in a fictional demo?,The project is a student prototype and isn't affiliated with the university. I don't want the mockup to look official.,product,false,155,2026-08-24T05:30:00+00:00,2026-08-24T05:30:00+00:00
144,how-do-you-keep-dates-readable-across-countries,d9fbcbde-376a-5f82-9fb5-268a24b02d57,How do you keep dates readable across countries?,Our cards say 04/05 and half the team reads it differently. Should we force one format?,frontend,false,85,2026-09-03T07:30:00+00:00,2026-09-03T07:30:00+00:00
145,anyone-tried-qgis-for-a-non-geography-class-project,f0f4eb8c-a1ed-50a1-bc7d-2863700a31a5,Anyone tried QGIS for a non-geography class project?,I have a CSV of public park locations and want to make a simple map. Most tutorials assume I already know GIS terms.,community,false,16,2026-07-24T08:30:00+00:00,2026-07-24T08:30:00+00:00
146,should-deleted-comments-disappear-or-leave-a-marker,0947c4b9-50d6-50e2-9043-84a15b80e8c7,Should deleted comments disappear or leave a marker?,A deleted parent comment makes replies confusing in our prototype. We haven't decided what should happen.,product,false,85,2026-08-22T03:30:00+00:00,2026-08-22T03:30:00+00:00
147,i-finally-reproduced-the-double-booking-bug,508d03e7-de84-523a-8242-f48abc9451d7,I finally reproduced the double-booking bug,Two people could reserve the same equipment slot if they clicked together. Normal manual testing never caught it.,backend,false,9,2026-09-16T07:30:00+00:00,2026-09-16T07:30:00+00:00
148,how-do-you-pick-a-first-issue-in-a-repo-you-don-t-know,518ae987-15f7-5b22-8bcc-df59623dbdce,How do you pick a first issue in a repo you don't know?,"There are lots of good-first-issue labels, but some haven't had a reply in months.",career,false,24,2026-07-26T09:30:00+00:00,2026-07-26T09:30:00+00:00
149,our-accessibility-checklist-is-getting-too-long,a53c485b-a35c-51fb-84a5-364207ce0adb,Our accessibility checklist is getting too long,We can't finish every improvement before the class demo. How would you choose what to do first?,product,false,9,2026-08-19T07:30:00+00:00,2026-08-19T07:30:00+00:00
150,do-i-need-docker-for-a-two-person-django-project,ae7ac442-d880-5cd8-bc30-8d21c5f7dc54,Do I need Docker for a two-person Django project?,"One of us is on Windows, one on Linux. Most of the trouble is setting up the database the same way.",backend,false,16,2026-08-03T00:30:00+00:00,2026-08-03T00:30:00+00:00
151,what-should-we-do-with-missing-survey-answers,6988340a-a3c1-5fda-a996-711f1723c649,What should we do with missing survey answers?,Some people skipped the last three questions. Replacing blanks with zero seems wrong but breaks my spreadsheet chart.,product,false,155,2026-08-02T06:30:00+00:00,2026-08-02T06:30:00+00:00
152,how-do-you-make-a-short-project-demo-less-stressful,d5dc7189-89df-5fd7-983f-1124b6de3d68,How do you make a short project demo less stressful?,"Five minutes, one laptop, unreliable Wi-Fi. I'm more nervous about the setup than the speaking.",career,false,85,2026-08-11T02:30:00+00:00,2026-08-11T02:30:00+00:00
153,when-is-localstorage-the-wrong-place-for-a-draft,4307ee18-2e16-50be-abbc-db160bb8e8fd,When is localStorage the wrong place for a draft?,"We want form drafts to survive reloads. The form might contain personal notes, though.",frontend,false,40,2026-08-06T04:30:00+00:00,2026-08-06T04:30:00+00:00
154,learning-linux-permissions-one-error-at-a-time,eb397f92-99ac-5f0f-8f81-3540865f0477,Learning Linux permissions one error at a time,I keep using sudo when something fails and now half my project files have a different owner. How do I untangle this?,backend,false,5,2026-08-26T07:30:00+00:00,2026-08-26T07:30:00+00:00
155,how-can-a-business-student-help-on-a-technical-team,f4b545d6-b6c0-54b8-847e-101d68428b48,How can a business student help on a technical team?,I can do research and spreadsheets but I'm new to coding. I don't want to just make presentation slides.,community,false,58,2026-08-09T06:30:00+00:00,2026-08-09T06:30:00+00:00
156,what-does-done-mean-for-a-student-research-prototype,3d016498-e16a-5ad9-95c7-b633dfc6a142,What does 'done' mean for a student research prototype?,Our supervisor wants a working demonstration. We keep adding features because the tool doesn't feel finished.,community,false,155,2026-08-05T01:30:00+00:00,2026-08-05T01:30:00+00:00
157,blender-exports-are-too-large-for-our-gallery-page,484e243b-afd7-5767-bb0f-4262c0334aea,Blender exports are too large for our gallery page,The scene looks fine on my laptop but takes forever to load on a phone. Where would you start?,frontend,false,24,2026-08-28T01:30:00+00:00,2026-08-28T01:30:00+00:00
158,how-do-you-ask-a-mentor-for-feedback-on-code,518ae987-15f7-5b22-8bcc-df59623dbdce,How do you ask a mentor for feedback on code?,I have a repo but I'm not sure what to ask beyond 'is this good?'.,career,false,5,2026-08-13T02:30:00+00:00,2026-08-13T02:30:00+00:00
159,simple-project-ideas-for-learning-database-transactions,20b63262-d3e6-555a-95b2-84fc87694a19,Simple project ideas for learning database transactions?,I understand commit and rollback on paper. Looking for a tiny example where they really matter.,backend,false,58,2026-07-31T01:30:00+00:00,2026-07-31T01:30:00+00:00
160,what-would-make-you-trust-a-project-progress-bar,0947c4b9-50d6-50e2-9043-84a15b80e8c7,What would make you trust a project progress bar?,"Ours counts completed tasks, but one huge task and five tiny tasks make the number misleading.",product,false,16,2026-07-26T02:30:00+00:00,2026-07-26T02:30:00+00:00
161,phone-camera-photos-rotate-after-uploading,fd96bbd1-5601-5c99-a1e2-04b09168b35e,Phone camera photos rotate after uploading,"The preview looks right on my phone, then sideways on the project page. Anyone seen this?",frontend,false,155,2026-08-20T06:30:00+00:00,2026-08-20T06:30:00+00:00
162,how-do-you-keep-a-project-alive-during-exams,44f09dba-7a20-5f46-840b-4670e6c7eb92,How do you keep a project alive during exams?,We're enjoying it but none of us can promise weekly releases this month.,community,false,40,2026-09-12T07:30:00+00:00,2026-09-12T07:30:00+00:00
163,can-an-api-return-a-useful-error-without-leaking-details,ae7ac442-d880-5cd8-bc30-8d21c5f7dc54,Can an API return a useful error without leaking details?,Right now users see the database exception text. It helped us debug but doesn't seem right for normal use.,backend,false,16,2026-08-24T03:30:00+00:00,2026-08-24T03:30:00+00:00
164,our-club-wants-a-newsletter-is-a-spreadsheet-enough-first,88820056-e901-59a1-b2ca-c4e813b34f7b,Our club wants a newsletter. Is a spreadsheet enough first?,I'm the person building the site and everyone immediately asked for an admin dashboard. We have about thirty interested readers.,product,false,58,2026-09-03T00:30:00+00:00,2026-09-03T00:30:00+00:00
165,how-do-you-give-helpful-feedback-on-a-rough-design,7f0221a7-4703-52e7-8b26-fa2cd7303c90,How do you give helpful feedback on a rough design?,My teammate asked for feedback but all I can think is 'it looks busy'. I want to be more specific.,community,false,9,2026-09-13T09:30:00+00:00,2026-09-13T09:30:00+00:00
166,sql-count-is-bigger-after-adding-a-join,001e944b-e64e-5742-afb7-5e04327e41ee,SQL count is bigger after adding a join,The project count doubles when I join members and tasks. Both tables have several rows per project. What am I missing?,backend,false,58,2026-08-11T02:30:00+00:00,2026-08-11T02:30:00+00:00
167,anyone-learning-technical-writing-alongside-programming,f1fb49f6-8f16-5086-a3b3-1c5e169f9ad4,Anyone learning technical writing alongside programming?,I can make the code work but explaining the setup is taking longer than I expected.,community,false,58,2026-07-26T01:30:00+00:00,2026-07-26T01:30:00+00:00
168,what-should-an-offline-app-do-when-two-edits-disagree,77c684c4-9514-5edc-85ff-1052c8544c14,What should an offline app do when two edits disagree?,"Our field notes app can be edited on two devices. Last-write-wins is easy, but I don't want to silently lose notes.",backend,false,40,2026-07-30T03:30:00+00:00,2026-07-30T03:30:00+00:00
169,how-do-you-explain-a-project-that-didn-t-meet-its-goal,4c2177ab-592a-5e4a-b25b-8bb3f8090555,How do you explain a project that didn't meet its goal?,Our prototype worked technically but nobody wanted to use it twice. Can that still go in a portfolio?,career,false,5,2026-07-23T04:30:00+00:00,2026-07-23T04:30:00+00:00
170,need-ideas-for-testing-a-map-without-asking-people-to-travel,082b47e7-5a06-5a34-bd49-595c82b2b196,Need ideas for testing a map without asking people to travel,Our student map prototype has only a few locations. We want feedback on the interface before collecting more data.,product,false,16,2026-08-08T03:30:00+00:00,2026-08-08T03:30:00+00:00
171,python-virtual-environments-finally-make-sense,a6b8342c-310b-5b88-9c07-602dbd646488,Python virtual environments finally make sense,Small win: rebuilt my project on another laptop using the requirements file. Last month I copied the whole environment folder.,community,false,40,2026-09-02T02:30:00+00:00,2026-09-02T02:30:00+00:00
172,should-notifications-link-to-a-comment-or-the-whole-discussion,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,Should notifications link to a comment or the whole discussion?,We show 'new reply' but the link lands at the top of a long discussion. Is that good enough for a first release?,product,false,9,2026-08-01T05:30:00+00:00,2026-08-01T05:30:00+00:00
173,how-do-you-decide-which-skills-to-put-on-a-profile,518ae987-15f7-5b22-8bcc-df59623dbdce,How do you decide which skills to put on a profile?,I've used several tools once in class. Listing all of them as advanced feels wrong.,career,false,9,2026-08-11T08:30:00+00:00,2026-08-11T08:30:00+00:00
174,is-a-paused-project-the-same-thing-as-a-failed-project,d9fbcbde-376a-5f82-9fb5-268a24b02d57,Is a paused project the same thing as a failed project?,We paused ours because two teammates started placements. It still has useful work in it.,community,false,58,2026-08-23T02:30:00+00:00,2026-08-23T02:30:00+00:00
175,how-do-you-hand-over-a-student-project-before-placements,96ccee9a-30f2-56cd-b597-a927c84e0f75,How do you hand over a student project before placements?,Two of us start placements next month. The prototype works on our laptops but the next team will need to maintain it. What should we leave them?,community,false,5,2026-07-26T01:30:00+00:00,2026-07-26T01:30:00+00:00
176,what-goes-into-a-brief-for-a-two-week-student-prototype,f223e569-d735-5980-b77b-25d459e64a37,What goes into a brief for a two-week student prototype?,Our team keeps adding features before agreeing on the problem. What belongs in a brief we will actually read?,product,false,530,2026-08-09T07:30:00+00:00,2026-08-09T07:30:00+00:00
