id,project_id,assignee_id,title,description,status,priority,due_date,order,xp_awarded,created_at,updated_at
162,115,f22a7317-9c2b-5d13-99b9-1a1622094bb3,Add regression checks for the main flow,Cover the behaviour behind this task: test the repair intake form on a phone.,todo,high,2026-10-01,6,false,2026-07-27T01:30:00+00:00,2026-07-27T01:30:00+00:00
163,116,daa36188-60fd-56a2-938b-70b1b51084b0,Write rounding tests for three-way splits,Use manual entry first and show rounding differences before saving.,todo,low,2026-09-26,0,false,2026-08-29T05:30:00+00:00,2026-08-29T05:30:00+00:00
164,116,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,Write the first-use checklist for Receipt split notebook,Keep the checklist to one flow and note what data is required before starting.,todo,medium,2026-09-27,1,false,2026-08-29T06:30:00+00:00,2026-08-29T06:30:00+00:00
165,116,d48cab4b-e48b-59ae-88d6-41d5d463569d,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Split grocery receipts when flatmates did not buy equal amounts.",todo,medium,2026-09-28,2,false,2026-08-29T07:30:00+00:00,2026-08-29T07:30:00+00:00
166,116,729fe171-fa0d-547e-b374-39bd19f4c645,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,todo,high,2026-09-29,3,false,2026-08-29T08:30:00+00:00,2026-08-29T08:30:00+00:00
167,116,878bb7d9-5569-5efb-bbd1-5e39d62d594d,Document the setup and known limits,Check a clean setup and include this boundary: Use manual entry first and show rounding differences before saving.,todo,medium,2026-09-30,4,false,2026-08-29T09:30:00+00:00,2026-08-29T09:30:00+00:00
168,116,daa36188-60fd-56a2-938b-70b1b51084b0,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",todo,medium,2026-10-01,5,false,2026-08-29T10:30:00+00:00,2026-08-29T10:30:00+00:00
169,117,1bc15434-bc22-56cc-a890-336efd2a11e5,Require pickup and expiry windows,Listings need an expiry time and allergen notes; no claims about food safety.,done,low,2026-08-30,0,true,2026-08-27T05:30:00+00:00,2026-08-30T05:30:00+00:00
170,117,b39a9d3d-f3eb-5d31-9cc7-15e278969b70,Write the first-use checklist for Lunch leftovers board,Keep the checklist to one flow and note what data is required before starting.,done,high,2026-08-31,1,true,2026-08-27T06:30:00+00:00,2026-08-31T06:30:00+00:00
171,117,878bb7d9-5569-5efb-bbd1-5e39d62d594d,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Let student groups offer unopened surplus food after an event.",done,medium,2026-09-01,2,true,2026-08-27T07:30:00+00:00,2026-09-01T07:30:00+00:00
172,117,484e243b-afd7-5767-bb0f-4262c0334aea,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,high,2026-09-02,3,true,2026-08-27T08:30:00+00:00,2026-09-02T08:30:00+00:00
173,117,bf54d417-d834-5d3e-a7f9-106377fe05a5,Document the setup and known limits,Check a clean setup and include this boundary: Listings need an expiry time and allergen notes; no claims about food safety.,done,medium,2026-09-03,4,true,2026-08-27T09:30:00+00:00,2026-09-03T09:30:00+00:00
174,118,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,Add units to the CSV export,Store measurements with units and export the original readings unchanged.,done,medium,2026-08-26,0,true,2026-08-23T08:30:00+00:00,2026-08-26T08:30:00+00:00
175,118,c6286e16-5e03-594c-aa67-861b8ba91b33,Write the first-use checklist for Fieldwork logbook,Keep the checklist to one flow and note what data is required before starting.,todo,low,2026-09-29,1,false,2026-08-23T09:30:00+00:00,2026-08-23T09:30:00+00:00
176,118,ef763ec1-f93c-5744-9640-4ca59adf9347,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Record water sampling notes when field trips have no mobile signal.",done,high,2026-08-28,2,true,2026-08-23T10:30:00+00:00,2026-08-28T10:30:00+00:00
177,118,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,medium,2026-08-29,3,true,2026-08-23T11:30:00+00:00,2026-08-29T11:30:00+00:00
178,118,c6286e16-5e03-594c-aa67-861b8ba91b33,Document the setup and known limits,Check a clean setup and include this boundary: Store measurements with units and export the original readings unchanged.,in_progress,high,2026-10-02,4,false,2026-08-23T12:30:00+00:00,2026-08-23T12:30:00+00:00
179,119,f0f4eb8c-a1ed-50a1-bc7d-2863700a31a5,Test simultaneous waitlist confirmations,Offer the seat to one person at a time so two confirmations cannot collide.,done,medium,2026-07-03,0,true,2026-06-30T02:30:00+00:00,2026-07-03T02:30:00+00:00
180,119,77c684c4-9514-5edc-85ff-1052c8544c14,Write the first-use checklist for Workshop waitlist,Keep the checklist to one flow and note what data is required before starting.,done,medium,2026-07-04,1,true,2026-06-30T03:30:00+00:00,2026-07-04T03:30:00+00:00
181,119,cb162f3d-006f-544e-bfa6-f9abb8a52026,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Fill empty seats when someone cancels a student workshop place.",done,medium,2026-07-05,2,true,2026-06-30T04:30:00+00:00,2026-07-05T04:30:00+00:00
182,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Run a paper test with a shift checklist,The shop owner can edit checklists without learning a content management system.,todo,medium,2026-09-30,0,false,2026-08-10T00:30:00+00:00,2026-08-10T00:30:00+00:00
183,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Write the first-use checklist for First shift guide,Keep the checklist to one flow and note what data is required before starting.,in_progress,high,2026-10-01,1,false,2026-08-10T01:30:00+00:00,2026-08-10T01:30:00+00:00
184,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Make a short onboarding guide for students working their first café shift.",review,medium,2026-10-02,2,false,2026-08-10T02:30:00+00:00,2026-08-10T02:30:00+00:00
185,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,review,low,2026-10-03,3,false,2026-08-10T03:30:00+00:00,2026-08-10T03:30:00+00:00
186,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Document the setup and known limits,Check a clean setup and include this boundary: The shop owner can edit checklists without learning a content management system.,todo,high,2026-10-04,4,false,2026-08-10T04:30:00+00:00,2026-08-10T04:30:00+00:00
187,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",review,low,2026-10-05,5,false,2026-08-10T05:30:00+00:00,2026-08-10T05:30:00+00:00
188,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Add regression checks for the main flow,Cover the behaviour behind this task: run a paper test with a shift checklist.,todo,low,2026-10-06,6,false,2026-08-10T06:30:00+00:00,2026-08-10T06:30:00+00:00
189,120,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Prepare the project handover notes,"Include a working example, remaining issues, and who last worked on each part.",in_progress,high,2026-10-07,7,false,2026-08-10T07:30:00+00:00,2026-08-10T07:30:00+00:00
190,121,19e81afb-74c1-5b4a-9af3-469f3b610235,Add observation time filters,Use observation times instead of pretending shade is the same all day.,todo,high,2026-09-22,0,false,2026-07-05T19:30:00+00:00,2026-07-05T19:30:00+00:00
191,121,19e81afb-74c1-5b4a-9af3-469f3b610235,Write the first-use checklist for Bus stop shade atlas,Keep the checklist to one flow and note what data is required before starting.,todo,medium,2026-09-23,1,false,2026-07-05T20:30:00+00:00,2026-07-05T20:30:00+00:00
192,121,19e81afb-74c1-5b4a-9af3-469f3b610235,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Map which bus stops offer shade during a summer commute.",todo,medium,2026-09-24,2,false,2026-07-05T21:30:00+00:00,2026-07-05T21:30:00+00:00
193,121,19e81afb-74c1-5b4a-9af3-469f3b610235,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,todo,low,2026-09-25,3,false,2026-07-05T22:30:00+00:00,2026-07-05T22:30:00+00:00
194,121,19e81afb-74c1-5b4a-9af3-469f3b610235,Document the setup and known limits,Check a clean setup and include this boundary: Use observation times instead of pretending shade is the same all day.,todo,high,2026-09-26,4,false,2026-07-05T23:30:00+00:00,2026-07-05T23:30:00+00:00
195,121,19e81afb-74c1-5b4a-9af3-469f3b610235,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",todo,medium,2026-09-27,5,false,2026-07-06T00:30:00+00:00,2026-07-06T00:30:00+00:00
196,122,a36cd93c-2f0c-5956-9a51-8094e39a7bed,Compare time windows across time zones,"Match overlapping time windows and preferred language, not a made-up score.",todo,high,2026-09-23,0,false,2026-07-31T01:30:00+00:00,2026-07-31T01:30:00+00:00
197,122,693ebb02-ab3f-5d60-b798-d4d4df4900d2,Write the first-use checklist for Practice partner cards,Keep the checklist to one flow and note what data is required before starting.,done,medium,2026-08-04,1,true,2026-07-31T02:30:00+00:00,2026-08-04T02:30:00+00:00
198,122,4845dc43-0c9d-5f09-aa4a-62e68abb5d12,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Help language learners find someone free for a short speaking session.",done,medium,2026-08-05,2,true,2026-07-31T03:30:00+00:00,2026-08-05T03:30:00+00:00
199,123,bb4b0d34-59a4-5948-a9be-a1aa6caece55,Reconcile the remaining grant balance,Every balance must be explainable from an expense row.,todo,low,2026-09-24,0,false,2026-08-31T20:30:00+00:00,2026-08-31T20:30:00+00:00
200,123,88a268b0-6bca-5583-b041-ffdbc51be7e6,Write the first-use checklist for Tiny grant tracker,Keep the checklist to one flow and note what data is required before starting.,todo,medium,2026-09-25,1,false,2026-08-31T21:30:00+00:00,2026-08-31T21:30:00+00:00
201,123,9d1c460b-bd0b-57ff-ac14-f2b10f73edd3,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Track small student society grants and the receipts needed for reimbursement.",done,medium,2026-09-05,2,true,2026-08-31T22:30:00+00:00,2026-09-05T22:30:00+00:00
202,123,bb4b0d34-59a4-5948-a9be-a1aa6caece55,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,todo,medium,2026-09-27,3,false,2026-08-31T23:30:00+00:00,2026-08-31T23:30:00+00:00
203,123,88a268b0-6bca-5583-b041-ffdbc51be7e6,Document the setup and known limits,Check a clean setup and include this boundary: Every balance must be explainable from an expense row.,in_progress,high,2026-09-28,4,false,2026-09-01T00:30:00+00:00,2026-09-01T00:30:00+00:00
204,123,9d1c460b-bd0b-57ff-ac14-f2b10f73edd3,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",todo,medium,2026-09-29,5,false,2026-09-01T01:30:00+00:00,2026-09-01T01:30:00+00:00
205,124,6690668c-e73d-51ff-9ca4-36bec9b8c175,Keep subtitle timestamps during edits,Editing and export are local; do not upload recorded students to an external model.,done,low,2026-08-21,0,true,2026-08-18T05:30:00+00:00,2026-08-21T05:30:00+00:00
206,124,8300625d-d3f5-5264-8503-98a2bfbf60d8,Write the first-use checklist for Caption draft desk,Keep the checklist to one flow and note what data is required before starting.,done,high,2026-08-22,1,true,2026-08-18T06:30:00+00:00,2026-08-22T06:30:00+00:00
207,124,53f78f7e-e2df-586b-b483-5748c92d0f9f,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Turn lecture-club video transcripts into captions that volunteers can correct.",done,low,2026-08-23,2,true,2026-08-18T07:30:00+00:00,2026-08-23T07:30:00+00:00
208,124,6690668c-e73d-51ff-9ca4-36bec9b8c175,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,medium,2026-08-24,3,true,2026-08-18T08:30:00+00:00,2026-08-24T08:30:00+00:00
209,124,8300625d-d3f5-5264-8503-98a2bfbf60d8,Document the setup and known limits,Check a clean setup and include this boundary: Editing and export are local; do not upload recorded students to an external model.,done,low,2026-08-25,4,true,2026-08-18T09:30:00+00:00,2026-08-25T09:30:00+00:00
210,124,53f78f7e-e2df-586b-b483-5748c92d0f9f,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",done,medium,2026-08-26,5,true,2026-08-18T10:30:00+00:00,2026-08-26T10:30:00+00:00
211,125,baa8ef70-5b01-5a49-84cb-71c353290705,Flag missing readings on the chart,Show missing sensor readings clearly instead of joining gaps with a line.,todo,low,2026-09-26,0,false,2026-08-16T15:30:00+00:00,2026-08-16T15:30:00+00:00
212,125,5a4b137d-2ebb-5c75-8cdd-bf77406b4b9f,Write the first-use checklist for Garden sensor diary,Keep the checklist to one flow and note what data is required before starting.,todo,medium,2026-09-27,1,false,2026-08-16T16:30:00+00:00,2026-08-16T16:30:00+00:00
213,125,06657aeb-b604-5b0d-9281-d2e5afb78a9d,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Compare soil readings from two planters in the student garden.",in_progress,medium,2026-09-28,2,false,2026-08-16T17:30:00+00:00,2026-08-16T17:30:00+00:00
214,125,eb3717c1-cd92-5eeb-af40-9df7f3132426,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,todo,medium,2026-09-29,3,false,2026-08-16T18:30:00+00:00,2026-08-16T18:30:00+00:00
215,126,95927b04-f214-5c26-878d-fb55176e41bc,Add a reason-for-reading field,"Store public paper links and original notes, not copyrighted PDF copies.",done,medium,2026-07-20,0,true,2026-07-17T23:30:00+00:00,2026-07-20T23:30:00+00:00
216,126,518ae987-15f7-5b22-8bcc-df59623dbdce,Write the first-use checklist for Paper queue,Keep the checklist to one flow and note what data is required before starting.,done,medium,2026-07-22,1,true,2026-07-18T00:30:00+00:00,2026-07-22T00:30:00+00:00
217,126,f223e569-d735-5980-b77b-25d459e64a37,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Keep a reading list for a small research group with notes on why each paper matters.",done,high,2026-07-23,2,true,2026-07-18T01:30:00+00:00,2026-07-23T01:30:00+00:00
218,126,95927b04-f214-5c26-878d-fb55176e41bc,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,medium,2026-07-24,3,true,2026-07-18T02:30:00+00:00,2026-07-24T02:30:00+00:00
219,126,518ae987-15f7-5b22-8bcc-df59623dbdce,Document the setup and known limits,"Check a clean setup and include this boundary: Store public paper links and original notes, not copyrighted PDF copies.",done,medium,2026-07-25,4,true,2026-07-18T03:30:00+00:00,2026-07-25T03:30:00+00:00
220,126,f223e569-d735-5980-b77b-25d459e64a37,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",done,low,2026-07-26,5,true,2026-07-18T04:30:00+00:00,2026-07-26T04:30:00+00:00
221,127,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Avoid repeated reviewer pairs,Review history is visible so assignments can be checked by the group.,review,low,2026-09-28,0,false,2026-08-28T02:30:00+00:00,2026-08-28T02:30:00+00:00
222,127,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Write the first-use checklist for Peer review rota,Keep the checklist to one flow and note what data is required before starting.,done,low,2026-09-01,1,true,2026-08-28T03:30:00+00:00,2026-09-01T03:30:00+00:00
223,127,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Give each class project two reviewers without pairing the same people every week.",done,high,2026-09-02,2,true,2026-08-28T04:30:00+00:00,2026-09-02T04:30:00+00:00
224,127,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,low,2026-09-03,3,true,2026-08-28T05:30:00+00:00,2026-09-03T05:30:00+00:00
225,127,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Document the setup and known limits,Check a clean setup and include this boundary: Review history is visible so assignments can be checked by the group.,done,low,2026-09-04,4,true,2026-08-28T06:30:00+00:00,2026-09-04T06:30:00+00:00
226,127,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",in_progress,low,2026-10-03,5,false,2026-08-28T07:30:00+00:00,2026-08-28T07:30:00+00:00
227,128,20b63262-d3e6-555a-95b2-84fc87694a19,Track missing components on return,A kit can be incomplete; missing parts must not disappear when it is returned.,done,medium,2026-07-08,0,true,2026-07-05T22:30:00+00:00,2026-07-08T22:30:00+00:00
228,128,d5dc7189-89df-5fd7-983f-1124b6de3d68,Write the first-use checklist for Lab kit checklist,Keep the checklist to one flow and note what data is required before starting.,done,medium,2026-07-09,1,true,2026-07-05T23:30:00+00:00,2026-07-09T23:30:00+00:00
229,128,20b63262-d3e6-555a-95b2-84fc87694a19,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Check lab kits in and out before practical sessions.",done,medium,2026-07-11,2,true,2026-07-06T00:30:00+00:00,2026-07-11T00:30:00+00:00
230,128,d5dc7189-89df-5fd7-983f-1124b6de3d68,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,medium,2026-07-12,3,true,2026-07-06T01:30:00+00:00,2026-07-12T01:30:00+00:00
231,128,20b63262-d3e6-555a-95b2-84fc87694a19,Document the setup and known limits,Check a clean setup and include this boundary: A kit can be incomplete; missing parts must not disappear when it is returned.,done,low,2026-07-13,4,true,2026-07-06T02:30:00+00:00,2026-07-13T02:30:00+00:00
232,129,8ecc0792-3789-53b2-a26e-fc6daa886eb7,Add an accessible contrast preset,Keep screenshot text readable and offer an export with no decorative frame.,done,medium,2026-09-03,0,true,2026-08-31T09:30:00+00:00,2026-09-03T09:30:00+00:00
233,129,cd8c4c60-ab9b-5cf3-996e-d4fbb990f4c6,Write the first-use checklist for Portfolio screenshot studio,Keep the checklist to one flow and note what data is required before starting.,done,medium,2026-09-04,1,true,2026-08-31T10:30:00+00:00,2026-09-04T10:30:00+00:00
234,129,f4793612-bd5c-52c4-b29e-226fe28a77ca,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Arrange project screenshots into consistent portfolio images.",done,low,2026-09-05,2,true,2026-08-31T11:30:00+00:00,2026-09-05T11:30:00+00:00
235,129,61347d09-09eb-5f04-a4ec-fe830319799f,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,medium,2026-09-06,3,true,2026-08-31T12:30:00+00:00,2026-09-06T12:30:00+00:00
236,130,e747fee0-a84b-5f51-98a3-7481903c9023,Restore a draft session after reopening,There is no speed ranking; skipped days should not wipe out the journal.,done,medium,2026-08-13,0,true,2026-08-10T02:30:00+00:00,2026-08-13T02:30:00+00:00
237,130,508d03e7-de84-523a-8242-f48abc9451d7,Write the first-use checklist for Reading pace journal,Keep the checklist to one flow and note what data is required before starting.,done,low,2026-08-14,1,true,2026-08-10T03:30:00+00:00,2026-08-14T03:30:00+00:00
238,130,bf54d417-d834-5d3e-a7f9-106377fe05a5,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Let students record a reading session and one thing they understood.",done,medium,2026-08-15,2,true,2026-08-10T04:30:00+00:00,2026-08-15T04:30:00+00:00
239,130,484e243b-afd7-5767-bb0f-4262c0334aea,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,done,medium,2026-08-16,3,true,2026-08-10T05:30:00+00:00,2026-08-16T05:30:00+00:00
240,131,651ce25b-8132-52d9-8f74-889f22c3bb5c,Evaluate false positives on sample posters,"This is a prototype helper, not an accessibility certification tool.",review,medium,2026-09-23,0,false,2026-09-02T21:30:00+00:00,2026-09-02T21:30:00+00:00
241,131,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,Write the first-use checklist for Accessible poster checker,Keep the checklist to one flow and note what data is required before starting.,todo,high,2026-09-24,1,false,2026-09-02T22:30:00+00:00,2026-09-02T22:30:00+00:00
242,131,651ce25b-8132-52d9-8f74-889f22c3bb5c,Sketch the empty and error states,"Show what happens before there is any data, and when the main action fails. Flag tiny text and low contrast in student event posters.",review,high,2026-09-25,2,false,2026-09-02T23:30:00+00:00,2026-09-02T23:30:00+00:00
243,131,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,Review the first prototype with a teammate,Record confusing steps and choose the two changes that matter most for the next pass.,review,medium,2026-09-26,3,false,2026-09-03T00:30:00+00:00,2026-09-03T00:30:00+00:00
244,131,651ce25b-8132-52d9-8f74-889f22c3bb5c,Document the setup and known limits,"Check a clean setup and include this boundary: This is a prototype helper, not an accessibility certification tool.",done,low,2026-09-10,4,true,2026-09-03T01:30:00+00:00,2026-09-10T01:30:00+00:00
245,131,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,Check keyboard navigation and small screens,"Use the primary flow without a mouse, then repeat it at a narrow viewport.",done,high,2026-09-11,5,true,2026-09-03T02:30:00+00:00,2026-09-11T02:30:00+00:00
246,131,651ce25b-8132-52d9-8f74-889f22c3bb5c,Add regression checks for the main flow,Cover the behaviour behind this task: evaluate false positives on sample posters.,todo,low,2026-09-29,6,false,2026-09-03T03:30:00+00:00,2026-09-03T03:30:00+00:00
247,131,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,Prepare the project handover notes,"Include a working example, remaining issues, and who last worked on each part.",done,urgent,2026-09-13,7,true,2026-09-03T04:30:00+00:00,2026-09-13T04:30:00+00:00
248,132,e3efd234-c7f9-5957-937f-661b1c3981ef,Label private handover documents,Separate public event guides from committee-only notes.,review,medium,2026-09-24,0,false,2026-07-19T07:30:00+00:00,2026-07-19T07:30:00+00:00
